,index,v_level,gamma_level,s_level,tau_level,v_gen,v_gen_actual,gamma_gen,gamma_gen_actual,s_gen,s_gen_actual,tau_gen,tau_gen_actual,v_rec,v_rec_hpd_lower,v_rec_hpd_upper,gamma_rec,gamma_rec_hpd_lower,gamma_rec_hpd_upper,s_rec,s_rec_hpd_lower,s_rec_hpd_upper,tau_rec,tau_rec_hpd_lower,tau_rec_hpd_upper,converged
45,45,medium,high,low,low,8.499999999999999e-05,8.061963792338085e-05,0.7,0.6585970761500313,0.0067,0.006601419879665239,0.215,0.3007193516181595,8.240091775978837e-05,7.694274726869288e-05,8.771963095735614e-05,0.6020366150434433,0.4958770287055536,0.7023234955611724,0.00631849252412443,0.0055795623623340436,0.0070448683833855075,0.29648274085858,0.2051922593618323,0.38584943122111,True
46,46,medium,high,low,medium,8.499999999999999e-05,8.656887516675759e-05,0.7,0.6726349096337481,0.0067,0.006309697686169982,0.675,0.7042669324968593,9.062390180299544e-05,8.579863791252873e-05,9.599477115779724e-05,0.6775889779162919,0.5823824961625288,0.7742776290611673,0.006059663235091291,0.005695951276073151,0.0064486792185307965,0.5885676841469595,0.5050789998642063,0.6765517355269461,True
47,47,medium,high,low,high,8.499999999999999e-05,8.51460087023688e-05,0.7,0.6841266047354815,0.0067,0.00624448511745972,1.135,1.1969222567672722,8.543141243454091e-05,7.983805131196263e-05,9.054811621338976e-05,0.6814731047625951,0.571272321945095,0.7889908439662958,0.006237700809069167,0.005743847874882988,0.006740490563270814,1.126714416931011,0.9397120243944777,1.314886835561779,True
48,48,medium,high,medium,low,8.499999999999999e-05,8.619290744719496e-05,0.7,0.7403141463176557,0.0095,0.009322060352895584,0.215,0.22158058979328,8.269250425226608e-05,7.59874199452913e-05,8.973535742868205e-05,0.770689182055345,0.6212407560070794,0.9742393645328704,0.00927860485793245,0.008651221124457873,0.009894088880809964,0.18096885686046665,0.06647014607707515,0.30580615459842964,True
49,49,medium,high,medium,medium,8.499999999999999e-05,8.684835719828766e-05,0.7,0.7944865462860877,0.0095,0.00934760199939857,0.675,0.6632872745554306,8.651544242459329e-05,8.062621348959274e-05,9.227763739104904e-05,0.7605434610413598,0.6521120550122426,0.8722870915372933,0.009384030927074549,0.008676952069369475,0.010084735198861976,0.7177725487243967,0.5709732109717226,0.8743584148849047,True
50,50,medium,high,medium,high,8.499999999999999e-05,8.602949260103196e-05,0.7,0.6832251548560592,0.0095,0.009752717733442705,1.135,1.1788611196207035,8.546517757561347e-05,7.83324544817275e-05,9.191573912276404e-05,0.7110852411115552,0.5931534184983391,0.834611083391172,0.009790232450853259,0.009266575288118393,0.010279508378713978,1.3135641912523042,1.0752281501284704,1.5878113409732555,True
51,51,medium,high,high,low,8.499999999999999e-05,8.264978719837258e-05,0.7,0.6698086290744883,0.0123,0.012619921715035945,0.215,0.20968035575785496,8.317839847088004e-05,7.690834331161488e-05,8.951401985643812e-05,0.8339533973958205,0.6355051696287131,0.9999946223065556,0.013031360869489438,0.012453350440162894,0.01364509320594167,0.173611796941165,0.02086935888324372,0.3085934427813196,True
52,52,medium,high,high,medium,8.499999999999999e-05,8.540995562917396e-05,0.7,0.7738779884765712,0.0123,0.012486602431845831,0.675,0.6749164894007391,8.691459586697779e-05,8.10434216213061e-05,9.291690553469934e-05,0.7613528520599058,0.6266328093219098,0.9002834093803145,0.011646418375532031,0.01101741916627331,0.01225011662565088,0.7500464780078763,0.5816156137340636,0.9526432387719798,True
53,53,medium,high,high,high,8.499999999999999e-05,8.566091239132825e-05,0.7,0.6947527927289773,0.0123,0.01228269415345557,1.135,1.2153028504535326,8.914074204490121e-05,8.076877957704135e-05,9.696504870779682e-05,0.7348777921560308,0.6500085918454275,0.8186048647165496,0.012121833431567522,0.011465856974202344,0.012839334912613408,1.1684306973795957,0.9242182668865192,1.421343073369039,True
54,54,high,low,low,low,0.00013700000000000002,0.0001331781602826227,-0.7,-0.6708294740550779,0.0067,0.006508679322530607,0.215,0.17252755789462468,0.00014051663161999872,0.00013520067129574564,0.0001455347526170439,-0.6389046721799369,-0.7833794766653739,-0.5003484981754553,0.005937369931805014,0.005761589346687334,0.006114787378505483,0.13259109381662978,0.028408653471709924,0.232009898445152,True
