,index,v_level,gamma_level,s_level,tau_level,v_gen,gamma_gen,s_gen,tau_gen,v_rec,v_rec_hpd_lower,v_rec_hpd_upper,gamma_rec,gamma_rec_hpd_lower,gamma_rec_hpd_upper,s_rec,s_rec_hpd_lower,s_rec_hpd_upper,tau_rec,tau_rec_hpd_lower,tau_rec_hpd_upper,converged
44,44,medium,medium,high,high,8.249999999999999e-05,5.551115123125783e-17,0.0103,1.135,8.114155236935635e-05,6.539444194603754e-05,9.904821754973238e-05,0.1330763771764316,0.0006238351861964643,0.2565491445870687,0.010154854115388036,0.009679875428579295,0.010666272290671372,1.4125927971312764,1.2501465671754106,1.5543629222369095,
45,45,medium,high,low,low,8.249999999999999e-05,0.8000000000000004,0.0047,0.215,9.832803602994167e-05,7.644690053300891e-05,0.00012135917001875027,0.650472335700077,0.5309467380089792,0.7503915838749641,0.002746557967474629,0.002258174041173454,0.0032339453077255558,0.12378635594032228,0.08355206452378673,0.16968153430310515,
46,46,medium,high,low,medium,8.249999999999999e-05,0.8000000000000004,0.0047,0.6749999999999999,8.814634489965146e-05,6.468264336233853e-05,0.0001146386855958448,0.6816180977895294,0.5615481605795245,0.7846138523658988,0.003121807879254706,0.0025425606359911197,0.0037610772220101406,0.4255890668611039,0.3621232221321668,0.4938551236004906,
47,47,medium,high,low,high,8.249999999999999e-05,0.8000000000000004,0.0047,1.135,8.269673581937925e-05,6.61077142898579e-05,0.0001016311240386309,0.8494990544384323,0.7707572656195385,0.9135748363692568,0.003975853775702514,0.003154942480825801,0.004848756597412448,1.0949005442276298,0.9817007211024644,1.222759977045316,
48,48,medium,high,medium,low,8.249999999999999e-05,0.8000000000000004,0.0075,0.215,0.00010774321726452275,8.122862210119252e-05,0.00013840688584524488,0.5652075019097679,0.4368475917707839,0.6861572592213121,0.0051655206578930845,0.0038868350960291906,0.006632288330848498,0.13136732181304964,0.08757513386141612,0.18211077291706232,
49,49,medium,high,medium,medium,8.249999999999999e-05,0.8000000000000004,0.0075,0.6749999999999999,9.551144902747795e-05,6.87621853199739e-05,0.00012474973086172472,0.6506667673439656,0.4937178709636032,0.8053898918128204,0.005491302429233275,0.004326519482509146,0.006759891565013455,0.4610667317419794,0.37461417326953617,0.5539323844430593,
50,50,medium,high,medium,high,8.249999999999999e-05,0.8000000000000004,0.0075,1.135,9.621080711573593e-05,7.352908654186766e-05,0.00011905062762127715,0.7005927667964461,0.5786954655709902,0.8107538955811175,0.00617697488466818,0.005235529508484314,0.007239098814918576,0.90926815274154,0.7747099164067248,1.0408362126441753,
51,51,medium,high,high,low,8.249999999999999e-05,0.8000000000000004,0.0103,0.215,9.404780638237254e-05,7.135332554704382e-05,0.00011706223418984755,0.5458631173590854,0.4052924122751014,0.6875409147711204,0.010306071020657791,0.009969020392496012,0.010651719670407513,0.22477027232261032,0.1667135717703893,0.2867740957149824,
52,52,medium,high,high,medium,8.249999999999999e-05,0.8000000000000004,0.0103,0.6749999999999999,8.550334207498063e-05,6.296930468865897e-05,0.00010699117288689865,0.6293190479854975,0.4748101821714941,0.7714063002481646,0.010103213774988979,0.009619709640328902,0.010496736807921769,0.651732783753412,0.5701633382337549,0.7347069362880491,
53,53,medium,high,high,high,8.249999999999999e-05,0.8000000000000004,0.0103,1.135,9.018584280241667e-05,6.956974033332753e-05,0.00011234783921303846,0.6900402178411708,0.5568975868374435,0.7886122850852477,0.010017510476390865,0.009688749622962359,0.010306420513866866,1.105370093746788,0.9637288829870432,1.2514265551943216,
54,54,high,low,low,low,0.0001365,-0.8,0.0047,0.215,0.00014127334569924186,0.00012372949297697922,0.00015889866126801887,-0.6812827653991359,-0.7572974143683444,-0.6150962595740873,0.002476666138819567,0.0023117434473907644,0.0026671376353476746,0.1451253042935004,0.1001095187049391,0.19030001172561428,
55,55,high,low,low,medium,0.0001365,-0.8,0.0047,0.6749999999999999,0.00014030691367723002,0.00011993277544516296,0.0001611211335765634,-0.6443954156730589,-0.7392259267594983,-0.5536678125880932,0.002803106271225885,0.0024899109288154,0.0031338511333137238,0.4180873840074316,0.3513982102179365,0.4933261369586426,
56,56,high,low,low,high,0.0001365,-0.8,0.0047,1.135,0.00016544611003553432,0.00014526575019957168,0.00018872131747039748,-0.6521478633677023,-0.7203720557502076,-0.5849480017555788,0.002800708936635098,0.0026582158982064005,0.002956211634155305,0.5050768394863504,0.36568023704703295,0.6444161402444659,
57,57,high,low,medium,low,0.0001365,-0.8,0.0075,0.215,0.00014578656245784223,0.00012411665145368154,0.00016919190667922623,-0.6354824010529331,-0.7273972029866695,-0.5313842257760353,0.004593480661258266,0.0033549830284414378,0.005886459912458435,0.13428006274408044,0.09949211174302493,0.17374208918410428,
58,58,high,low,medium,medium,0.0001365,-0.8,0.0075,0.6749999999999999,0.00014724416524255913,0.0001213473967549832,0.00017094038293024398,-0.6686046914515055,-0.7593086818046829,-0.5599574504162292,0.004533080448247022,0.003355389820516888,0.005694619959535485,0.4090365300733717,0.32941352486386155,0.4979276492655435,
59,59,high,low,medium,high,0.0001365,-0.8,0.0075,1.135,0.0001511176099617029,0.00012614130753780105,0.00017518712508376327,-0.6577307056331118,-0.7171064537148866,-0.5996547477465091,0.006499787389365746,0.0052328559381900315,0.007850083832508997,1.0336560001901012,0.78556956352768,1.30809885906923,
60,60,high,low,high,low,0.0001365,-0.8,0.0103,0.215,0.0001303556838062281,0.00011226188564789348,0.00014873432916456003,-0.6163143717192029,-0.698606693443458,-0.5246235058371478,0.0105480765025515,0.010190726634181559,0.010888646726416696,0.2410704806013401,0.17926311725375932,0.3091849524842283,
61,61,high,low,high,medium,0.0001365,-0.8,0.0103,0.6749999999999999,0.00012956754721962094,0.00010895767582589048,0.00015006626238338447,-0.6534745056699073,-0.7294626559491526,-0.577296157302204,0.010232198171029909,0.009810908695802343,0.010675033370673562,0.6914023735580381,0.5631114539983593,0.8081742618466399,
62,62,high,low,high,high,0.0001365,-0.8,0.0103,1.135,0.00013643022070123013,0.00011913579923090679,0.0001546456472122367,-0.6431427837863193,-0.6957852780290241,-0.5859495796854497,0.010929443886066051,0.01060392120389499,0.011221070706100185,1.3276985670394248,1.1452017588046763,1.5245914083664112,
63,63,high,medium,low,low,0.0001365,5.551115123125783e-17,0.0047,0.215,0.00013827449547110883,0.0001201447756989539,0.00015409555627227456,-0.05321674540982333,-0.20682328284858487,0.13021550681694286,0.002473693906456794,0.0022933058184034802,0.0026459119661221353,0.12046205425777365,0.0802330477148582,0.16324869926679106,
64,64,high,medium,low,medium,0.0001365,5.551115123125783e-17,0.0047,0.6749999999999999,0.0001331145983173384,0.00011695874036266014,0.00015039961950403974,-0.07078079585505631,-0.260780898399671,0.11756611130840874,0.002494185511910911,0.002304608728444173,0.002690048174467653,0.3961541813460093,0.3201010555016897,0.4677900755828224,
65,65,high,medium,low,high,0.0001365,5.551115123125783e-17,0.0047,1.135,0.00013941021772918112,0.0001233534819313458,0.00015504341309586256,-0.013509968427812385,-0.1466067930451379,0.11169231463027528,0.0029619759463394607,0.0026903200159320807,0.0032196832077185837,0.7970693395863493,0.7041476982760735,0.8991586211514109,
66,66,high,medium,medium,low,0.0001365,5.551115123125783e-17,0.0075,0.215,0.00014435279226503089,0.0001232252354623212,0.00016650053952313752,-0.04935569293990635,-0.18707208309556334,0.08741092441471032,0.00431457476590456,0.0031818806175870056,0.005524033752933861,0.11304566335468175,0.07224153515026567,0.1558069338123482,
67,67,high,medium,medium,medium,0.0001365,5.551115123125783e-17,0.0075,0.6749999999999999,0.00014392804137430034,0.00011812743402633125,0.00016773843399634812,-0.056675038020775885,-0.24924117685293776,0.12820226518625333,0.004194139272435175,0.003130218327759384,0.005217632485317064,0.325762834932041,0.2747826359845701,0.38188030843039295,
68,68,high,medium,medium,high,0.0001365,5.551115123125783e-17,0.0075,1.135,0.0001390849169874914,0.00011935720580331879,0.0001593735421838775,-0.014591361149558519,-0.14870489794720942,0.1037420841977248,0.0057738977079497995,0.004640919428545553,0.00704106070715835,0.9233254950562708,0.75570076701033,1.1075744825121905,
69,69,high,medium,high,low,0.0001365,5.551115123125783e-17,0.0103,0.215,0.00012770169818621392,0.00010975637271225186,0.00014659680835689052,-0.05280264604765216,-0.21443244062927205,0.1025742826209992,0.01051303844476918,0.010115767264333888,0.010874996920409104,0.21725550734098764,0.1590161006788088,0.2734902881632224,
70,70,high,medium,high,medium,0.0001365,5.551115123125783e-17,0.0103,0.6749999999999999,0.0001243920616757348,0.00010738022204029352,0.00014280094385293944,-0.019848934305219317,-0.22370206241265067,0.1663521837385602,0.010101987973814534,0.009742122109071851,0.010532238139173205,0.5839782377811341,0.4974384142364197,0.6750620869525179,
71,71,high,medium,high,high,0.0001365,5.551115123125783e-17,0.0103,1.135,0.00012482522693146248,0.00011017205319873772,0.00014073140088542255,-0.02973573916602457,-0.15569283718017468,0.10927938547394356,0.010556123473742077,0.010208152965540384,0.010880777613688716,1.321406244353276,1.1981475591044402,1.4362987896510793,
72,72,high,high,low,low,0.0001365,0.8000000000000004,0.0047,0.215,0.00013775498422652292,0.00012228355474270866,0.00015208759678319618,0.7089382256296127,0.6021097504051935,0.8131917217508511,0.002661560412323401,0.002440993369090568,0.00287097374800887,0.16770714036091866,0.12971278942340794,0.2108737866512848,
73,73,high,high,low,medium,0.0001365,0.8000000000000004,0.0047,0.6749999999999999,0.00012659418448934137,0.00010722812093181094,0.0001470156351951855,0.6739395634640512,0.5660077292297017,0.7755389692236527,0.0028927080312958907,0.002532984217951905,0.003255123567694636,0.5126080627861023,0.4215533075800073,0.5992241768444135,
74,74,high,high,low,high,0.0001365,0.8000000000000004,0.0047,1.135,0.00013160702428898792,0.000115658648615739,0.00014662878041435677,0.6491487912329272,0.504931870797936,0.7881968885817496,0.0026984946105366287,0.0025066296239360268,0.002910380144040186,0.8063786971201896,0.6949541949882966,0.9180339145681278,
75,75,high,high,medium,low,0.0001365,0.8000000000000004,0.0075,0.215,0.00014282449808676622,0.00012733063031602473,0.00016096774020816942,0.6938024230239264,0.5970174493795257,0.7841103127302946,0.0044956305507157885,0.003140181709734649,0.00590675193905582,0.1812456774898837,0.12226248163729465,0.2535460037583347,
76,76,high,high,medium,medium,0.0001365,0.8000000000000004,0.0075,0.6749999999999999,0.00013357825141649337,0.00011119136644484978,0.0001578873711025877,0.6663933907707018,0.5615690341590851,0.7584150167093768,0.00447041803631371,0.003385849806411518,0.0054864426299240715,0.4747987525456553,0.36330321848150376,0.5991707997857774,
77,77,high,high,medium,high,0.0001365,0.8000000000000004,0.0075,1.135,0.00013784103448841246,0.00011771774227967341,0.0001550870069066301,0.6589698742963144,0.5099768297691063,0.8022868106849956,0.004475260880959974,0.0034061618873210877,0.005599223724186454,0.690919884211777,0.582889020290813,0.821961185226572,
78,78,high,high,high,low,0.0001365,0.8000000000000004,0.0103,0.215,0.00012754482323183554,0.00011342358145225782,0.00014168490188416627,0.6419019305694966,0.5349606696145104,0.7504996540997597,0.010142290630847121,0.009784432608248595,0.0105409077492694,0.2870376482281881,0.21697014739720605,0.3606215484530997,
79,79,high,high,high,medium,0.0001365,0.8000000000000004,0.0103,0.6749999999999999,0.00013024596746381368,0.0001087107166679428,0.00015363068347372714,0.626138559621429,0.5309687598426924,0.7182626325302812,0.008101877187513387,0.006513765888183758,0.00951346748089338,0.5748233100194379,0.41150725519160014,0.7135815006643695,
80,80,high,high,high,high,0.0001365,0.8000000000000004,0.0103,1.135,0.00012458567453109155,0.0001080677381490933,0.00014109327568508176,0.6603708146260561,0.5260998166836341,0.7920151180048354,0.009752064655934908,0.00932643955995243,0.010139930129209988,1.033819063545256,0.9353104347554276,1.1247741198033654,
